id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
18009	Blackford County	IN01	IN	01	East Central Indiana Regional Planning Commission	0	#N/A	#993955
18017	Cass County	IN12	IN	12	North Central Indiana Regional Planning Council	0	#N/A	#DAC0D6
18023	Clinton County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18025	Crawford County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18027	Daviess County	IN10	IN	10	Southern Indiana Economic Development Commission	0	#N/A	#404143
18031	Decatur County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18033	DeKalb County	IN06	IN	06	Northeastern Indiana Regional Coordinating Council	0	#N/A	#2A1018
18037	Dubois County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18041	Fayette County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18045	Fountain County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18047	Franklin County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18049	Fulton County	IN12	IN	12	North Central Indiana Regional Planning Council	0	#N/A	#DAC0D6
18053	Grant County	IN01	IN	01	East Central Indiana Regional Planning Commission	0	#N/A	#993955
18055	Greene County	IN10	IN	10	Southern Indiana Economic Development Commission	0	#N/A	#404143
18065	Henry County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18069	Huntington County	IN08	IN	08	Regiona III-A Economic Dev District and Regional Planning Commission	0	#N/A	#2D363C
18071	Jackson County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18075	Jay County	IN01	IN	01	East Central Indiana Regional Planning Commission	0	#N/A	#993955
18077	Jefferson County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18079	Jennings County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18083	Knox County	IN10	IN	10	Southern Indiana Economic Development Commission	0	#N/A	#404143
18085	Kosciusko County	IN05	IN	05	Michiana Area Council of Governments	0	#N/A	#E9ECF5
18087	LaGrange County	IN08	IN	08	Regiona III-A Economic Dev District and Regional Planning Commission	0	#N/A	#2D363C
18093	Lawrence County	IN10	IN	10	Southern Indiana Economic Development Commission	0	#N/A	#404143
18099	Marshall County	IN05	IN	05	Michiana Area Council of Governments	0	#N/A	#E9ECF5
18101	Martin County	IN10	IN	10	Southern Indiana Economic Development Commission	0	#N/A	#404143
18103	Miami County	IN12	IN	12	North Central Indiana Regional Planning Council	0	#N/A	#DAC0D6
18107	Montgomery County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18113	Noble County	IN08	IN	08	Regiona III-A Economic Dev District and Regional Planning Commission	0	#N/A	#2D363C
18117	Orange County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18121	Parke County	IN11	IN	11	West Central Indiana Economic Development District	0	#N/A	#D0A5B1
18123	Perry County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18125	Pike County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18131	Pulaski County	IN03	IN	03	Kankakee-Iroquios Regional Planning Commission	0	#N/A	#A3C3D9
18135	Randolph County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18137	Ripley County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18139	Rush County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18147	Spencer County	IN02	IN	02	Indiana 15 Regional Planning Commission	0	#N/A	#AE76A6
18149	Starke County	IN03	IN	03	Kankakee-Iroquios Regional Planning Commission	0	#N/A	#A3C3D9
18151	Steuben County	IN08	IN	08	Regiona III-A Economic Dev District and Regional Planning Commission	0	#N/A	#2D363C
18155	Switzerland County	IN09	IN	09	Southeastern Indiana Regional Planning Commission	0	#N/A	#383B41
18159	Tipton County	IN12	IN	12	North Central Indiana Regional Planning Council	0	#N/A	#DAC0D6
18169	Wabash County	IN08	IN	08	Regiona III-A Economic Dev District and Regional Planning Commission	0	#N/A	#2D363C
18171	Warren County	IN03	IN	03	Kankakee-Iroquios Regional Planning Commission	0	#N/A	#A3C3D9
18177	Wayne County	IN99	IN	99	Unattached	0	#N/A	#A9ACB3
18181	White County	IN03	IN	03	Kankakee-Iroquios Regional Planning Commission	0	#N/A	#A3C3D9
19001	Adair County	IA99	IA	99	Southwest Iowa Planning Council	0	#N/A	#A9ACB3
19003	Adams County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19005	Allamakee County	IA16	IA	16	Upper Explorerland Regional Planning Commission	0	#N/A	 #987981
19007	Appanoose County	IA03	IA	03	Chariton Valley Planning & Development Council of Governments	0	#N/A	#A3C3D9
19009	Audubon County	IA11	IA	11	Region XII Council of Governments	0	#N/A	#D0A5B1
19015	Boone County	IA99	IA	99	none	0	#N/A	#A9ACB3
19019	Buchanan County	IA06	IA	06	Iowa Northland Regional Council of Governments	0	#N/A	#2A1018
19021	Buena Vista County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19023	Butler County	IA06	IA	06	Iowa Northland Regional Council of Governments	0	#N/A	#2A1018
19025	Calhoun County	IA07	IA	07	MIDAS Council of Governments	0	#N/A	#30212E
19027	Carroll County	IA11	IA	11	Region XII Council of Governments	0	#N/A	#D0A5B1
19029	Cass County	IA15	IA	15	Southwest Iowa Planning Council	0	#N/A	#F5F6FA
19031	Cedar County	IA04	IA	04	East Central Intergovernmental Association	0	#N/A	#CCD6EB
19033	Cerro Gordo County	IA08	IA	08	North Iowa Area Council of Governments	0	#N/A	#2D363C
19035	Cherokee County	IA12	IA	12	Siouxland Interstate Metropolitan Planning Council	0	#N/A	#DAC0D6
19037	Chickasaw County	IA06	IA	06	Iowa Northland Regional Council of Governments	0	#N/A	#2A1018
19039	Clarke County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19041	Clay County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
19043	Clayton County	IA16	IA	16	Upper Explorerland Regional Planning Commission	0	#N/A	 #987981
19045	Clinton County	IA04	IA	04	East Central Intergovernmental Association	0	#N/A	#CCD6EB
19047	Crawford County	IA11	IA	11	Region XII Council of Governments	0	#N/A	#D0A5B1
19051	Davis County	IA01	IA	01	Area 15 Regional Planning Commission	0	#N/A	#993955
19053	Decatur County	IA14	IA	14	Southern Iowa Council of Governments	0	#N/A	#E7ECF5
19055	Delaware County	IA04	IA	04	East Central Intergovernmental Association	0	#N/A	#CCD6EB
19057	Des Moines County	IA13	IA	13	Southeast Iowa Regional Planning Commission	0	#N/A	#D5E3ED
19059	Dickinson County	IA09	IA	09	Northwest Iowa Planning and Development Commission	0	#N/A	#383B41
